Id. de problema,Descripción,Estado,Gravedad,Puntos de la historia,Ruta de acceso del proyecto,Tipo de ubicación,Ruta de acceso,Línea,Columna,Id. de incidente,Vínculo de ayuda,Nombre del ensamblado,Versión de ensamblado,Clave pública de ensamblado,Fragmento
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,S3Integración_programs.csproj,File,FileNameConfigDialog.cs,116,12,F:System.Windows.Forms.FlowDirection.RightToLeft,,,,,"var panel = new FlowLayoutPanel              {                  Dock = DockStyle.Fill,                  AutoSize = true,                  FlowDirection = FlowDirection.RightToLeft,              };"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,S3Integración_programs.csproj,File,FileNameConfigDialog.cs,116,12,T:System.Windows.Forms.FlowDirection,,,,,"var panel = new FlowLayoutPanel              {                  Dock = DockStyle.Fill,                  AutoSize = true,                  FlowDirection = FlowDirection.RightToLeft,              };"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,S3Integración_programs.csproj,File,FileNameConfigDialog.cs,116,12,P:System.Windows.Forms.FlowLayoutPanel.FlowDirection,,,,,"var panel = new FlowLayoutPanel              {                  Dock = DockStyle.Fill,                  AutoSize = true,                  FlowDirection = FlowDirection.RightToLeft,              };"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,S3Integración_programs.csproj,File,FileNameConfigDialog.cs,116,12,P:System.Windows.Forms.Panel.AutoSize,,,,,"var panel = new FlowLayoutPanel              {                  Dock = DockStyle.Fill,                  AutoSize = true,                  FlowDirection = FlowDirection.RightToLeft,              };"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,S3Integración_programs.csproj,File,FileNameConfigDialog.cs,116,12,T:System.Windows.Forms.DockStyle,,,,,"var panel = new FlowLayoutPanel              {                  Dock = DockStyle.Fill,                  AutoSize = true,                  FlowDirection = FlowDirection.RightToLeft,              };"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,S3Integración_programs.csproj,File,FileNameConfigDialog.cs,116,12,T:System.Windows.Forms.DockStyle,,,,,"var panel = new FlowLayoutPanel              {                  Dock = DockStyle.Fill,                  AutoSize = true,                  FlowDirection = FlowDirection.RightToLeft,              };"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,S3Integración_programs.csproj,File,FileNameConfigDialog.cs,116,12,F:System.Windows.Forms.DockStyle.Fill,,,,,"var panel = new FlowLayoutPanel              {                  Dock = DockStyle.Fill,                  AutoSize = true,                  FlowDirection = FlowDirection.RightToLeft,              };"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,S3Integración_programs.csproj,File,FileNameConfigDialog.cs,116,12,T:System.Windows.Forms.DockStyle,,,,,"var panel = new FlowLayoutPanel              {                  Dock = DockStyle.Fill,                  AutoSize = true,                  FlowDirection = FlowDirection.RightToLeft,              };"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,S3Integración_programs.csproj,File,FileNameConfigDialog.cs,116,12,P:System.Windows.Forms.Control.Dock,,,,,"var panel = new FlowLayoutPanel              {                  Dock = DockStyle.Fill,                  AutoSize = true,                  FlowDirection = FlowDirection.RightToLeft,              };"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,S3Integración_programs.csproj,File,FileNameConfigDialog.cs,116,12,T:System.Windows.Forms.FlowLayoutPanel,,,,,"var panel = new FlowLayoutPanel              {                  Dock = DockStyle.Fill,                  AutoSize = true,                  FlowDirection = FlowDirection.RightToLeft,              };"
